	country	year	top1_share	bottom50_share
0	AE	2009	0.15571000000000002	0.10894
1	AE	1998	0.17837999999999987	0.12151
2	BH	2015	0.18236000000000008	0.14034000000000002
3	BH	2005	0.17959999999999998	0.14612
4	BH	1995	0.18889999999999996	0.14076
5	BR	2015	0.27841000000000005	0.12252
6	BR	2014	0.27598999999999996	0.12511
7	BR	2013	0.2754	0.12371
8	BR	2012	0.27269	0.12095
9	BR	2011	0.28825	0.11858
10	BR	2010	0.27759999999999996	0.12058
11	BR	2009	0.27462	0.11944
12	BR	2008	0.29428999999999994	0.11647
13	BR	2007	0.2884	0.11759
14	BR	2006	0.28401999999999994	0.1162
15	BR	2005	0.27803	0.11631
16	BR	2004	0.27469	0.11505
17	BR	2003	0.27388	0.11204
18	BR	2002	0.26671999999999996	0.11144
19	BR	2001	0.25076999999999994	0.11267
20	CI	2014	0.17079999999999995	0.13448
21	CI	2008	0.18289999999999995	0.13162
22	CI	2002	0.21028000000000002	0.11727
23	CI	1998	0.17581000000000002	0.14375
24	CI	1993	0.1498799999999999	0.165
25	CI	1988	0.2078399999999999	0.12607000000000002
26	CN-RU	2015	0.16146000000000005	0.18587
27	CN-RU	2014	0.15882000000000007	0.1861
28	CN-RU	2013	0.1585200000000001	0.1856
29	CN-RU	2012	0.1595200000000001	0.18466
30	CN-RU	2011	0.16200000000000003	0.18331
31	CN-RU	2010	0.1644	0.18657
32	CN-RU	2009	0.15961000000000003	0.19354
33	CN-RU	2008	0.14823999999999993	0.19707
34	CN-RU	2007	0.15599999999999992	0.1977
35	CN-RU	2006	0.14678999999999998	0.20169
36	CN-RU	2005	0.14393999999999996	0.19631
37	CN-RU	2004	0.12763999999999998	0.21321
38	CN-RU	2003	0.1297299999999999	0.20867
39	CN-RU	2002	0.13302999999999998	0.20995
40	CN-RU	2001	0.13113999999999992	0.21348000000000006
41	CN-RU	2000	0.12818999999999992	0.21812
42	CN-RU	1999	0.11407000000000012	0.23047
43	CN-RU	1998	0.11381000000000008	0.23279
44	CN-RU	1997	0.11024999999999996	0.22927
45	CN-RU	1996	0.11170000000000002	0.22988000000000006
46	CN-RU	1995	0.10738999999999999	0.23087
47	CN-RU	1994	0.10734999999999995	0.23151
48	CN-RU	1993	0.10472000000000004	0.23534
49	CN-RU	1992	0.10170000000000001	0.23993
50	CN-RU	1991	0.09857000000000005	0.2451
51	CN-RU	1990	0.09347000000000005	0.25341
52	CN-RU	1989	0.09282000000000001	0.25577
53	CN-RU	1988	0.09206999999999999	0.25858000000000003
54	CN-RU	1987	0.09123000000000003	0.26201
55	CN-RU	1986	0.09023000000000003	0.26633
56	CN-RU	1985	0.08901999999999999	0.27195
57	CN-RU	1984	0.08696000000000004	0.27397
58	CN-RU	1983	0.08445000000000003	0.27638
59	CN-RU	1982	0.08131	0.27936
60	CN-RU	1981	0.07720000000000005	0.28319
61	CN-RU	1980	0.07154000000000005	0.28838
62	CN-RU	1979	0.07106000000000001	0.28901
63	CN-RU	1978	0.07057000000000002	0.28963
64	CN-UR	2015	0.13258999999999999	0.22305
65	CN-UR	2014	0.12996000000000008	0.22327
66	CN-UR	2013	0.13083999999999996	0.21693
67	CN-UR	2012	0.13013999999999992	0.22809
68	CN-UR	2011	0.13908999999999994	0.21821
69	CN-UR	2010	0.14422999999999997	0.21836
70	CN-UR	2009	0.14692000000000005	0.22171
71	CN-UR	2008	0.14613999999999994	0.21869
72	CN-UR	2007	0.1457799999999999	0.22143
73	CN-UR	2006	0.14117999999999997	0.22229
74	CN-UR	2005	0.13416000000000006	0.22279
75	CN-UR	2004	0.13352999999999993	0.22821
76	CN-UR	2003	0.12447999999999992	0.23553
77	CN-UR	2002	0.11591000000000007	0.24152
78	CN-UR	2001	0.09460999999999997	0.27409
79	CN-UR	2000	0.08809999999999996	0.2816
80	CN-UR	1999	0.08714	0.28744000000000003
81	CN-UR	1998	0.08603000000000005	0.29105
82	CN-UR	1997	0.08320000000000005	0.29563
83	CN-UR	1996	0.08165	0.30118
84	CN-UR	1995	0.07840000000000003	0.30566
85	CN-UR	1994	0.07977999999999996	0.3038
86	CN-UR	1993	0.07721	0.30905
87	CN-UR	1992	0.07272	0.3203
88	CN-UR	1991	0.06803000000000003	0.33359
89	CN-UR	1990	0.06779999999999997	0.3288
90	CN-UR	1989	0.06986999999999999	0.32751
91	CN-UR	1988	0.06691000000000003	0.33143
92	CN-UR	1987	0.06483000000000005	0.33771
93	CN-UR	1986	0.06701999999999997	0.32868
94	CN-UR	1985	0.06994999999999996	0.31697
95	CN-UR	1984	0.05835999999999997	0.33473
96	CN-UR	1983	0.052039999999999975	0.34284000000000003
97	CN-UR	1982	0.05154000000000003	0.34541
98	CN-UR	1981	0.05056000000000005	0.34511
99	CN-UR	1980	0.04995000000000005	0.34608
100	CN-UR	1979	0.049329999999999985	0.34706
101	CN-UR	1978	0.048699999999999966	0.34805
102	CN	2015	0.13923999999999992	0.14834
103	CN	2014	0.13661	0.14858
104	CN	2013	0.13813999999999993	0.145
105	CN	2012	0.13749999999999996	0.15004
106	CN	2011	0.14588999999999996	0.14544
107	CN	2010	0.15122999999999998	0.14272
108	CN	2009	0.15412999999999988	0.14712
109	CN	2008	0.15180000000000005	0.14806
110	CN	2007	0.15267000000000008	0.14847
111	CN	2006	0.14767000000000008	0.15014
112	CN	2005	0.14197999999999988	0.1503
113	CN	2004	0.13818999999999992	0.15799000000000002
114	CN	2003	0.1313200000000001	0.15778
115	CN	2002	0.12549	0.1621
116	CN	2001	0.10867999999999989	0.17479
117	CN	2000	0.10372999999999988	0.18068
118	CN	1999	0.09926999999999997	0.19265
119	CN	1998	0.09841	0.19963
120	CN	1997	0.09552000000000005	0.19902
121	CN	1996	0.09550999999999998	0.19916
122	CN	1995	0.09289000000000003	0.19323
123	CN	1994	0.09438000000000002	0.18962
124	CN	1993	0.09194999999999998	0.1936
125	CN	1992	0.08750999999999998	0.20308
126	CN	1991	0.08318000000000003	0.21264
127	CN	1990	0.08096000000000003	0.22577
128	CN	1989	0.08206000000000002	0.2239
129	CN	1988	0.08001999999999998	0.23064
130	CN	1987	0.07870999999999995	0.23316
131	CN	1986	0.07965999999999995	0.23859
132	CN	1985	0.08004	0.25406
133	CN	1984	0.07455	0.25762
134	CN	1983	0.07113000000000003	0.26055
135	CN	1982	0.06940000000000002	0.25814000000000004
136	CN	1981	0.06710000000000005	0.26394
137	CN	1980	0.06418999999999997	0.2673
138	CN	1979	0.06369999999999998	0.26871
139	CN	1978	0.06347999999999998	0.2696
140	CZ	2015	0.09197	0.28354
141	CZ	2014	0.09092999999999996	0.28375
142	CZ	2013	0.09121999999999997	0.29607
143	CZ	2012	0.10202000000000011	0.28225
144	CZ	2011	0.09441	0.28643
145	CZ	2010	0.09430000000000005	0.28536
146	CZ	2009	0.10146	0.2896
147	CZ	2008	0.11337000000000008	0.28394
148	CZ	2007	0.09097999999999995	0.28914
149	CZ	2006	0.08667000000000002	0.28736
150	CZ	2005	0.09423000000000004	0.28963
151	CZ	2004	0.08913000000000004	0.28691
152	CZ	2003	0.08448999999999995	0.29676
153	CZ	2002	0.08191999999999999	0.30611
154	CZ	2001	0.08187	0.30531
155	CZ	2000	0.08182999999999996	0.3045
156	CZ	1999	0.08177999999999996	0.30366
